,Mean_temp (K),datetime
566,244.64776752050517,2019-04-11 22:20:00
567,244.61608712187402,2019-04-11 22:30:00
568,244.60991310953247,2019-04-11 22:40:00
569,244.59712120537074,2019-04-11 22:50:00
570,244.59217456332692,2019-04-11 23:00:00
571,244.58130821717918,2019-04-11 23:10:00
572,244.56689338983463,2019-04-11 23:20:00
573,244.5595920689188,2019-04-11 23:30:00
574,244.54400174016084,2019-04-11 23:40:00
575,244.53161268224,2019-04-11 23:50:00
576,244.52138163156013,2019-04-12 00:00:00
577,244.5149704586689,2019-04-12 00:10:00
578,244.50305415626642,2019-04-12 00:20:00
579,244.49875638878132,2019-04-12 00:30:00
580,244.49229103783082,2019-04-12 00:40:00
581,244.477277600094,2019-04-12 00:50:00
582,244.47144220946072,2019-04-12 01:00:00
583,244.4558087792463,2019-04-12 01:10:00
584,244.44893925264785,2019-04-12 01:20:00
585,244.4272876067199,2019-04-12 01:30:00
586,244.4173869303539,2019-04-12 01:40:00
587,244.42082936889787,2019-04-12 01:50:00
588,244.4197300425361,2019-04-12 02:00:00
589,244.4090319220977,2019-04-12 02:10:00
590,244.40925167279443,2019-04-12 02:20:00
591,244.40806909371747,2019-04-12 02:30:00
592,244.40801126756816,2019-04-12 02:40:00
593,244.4064240008798,2019-04-12 02:50:00
594,244.41049504167373,2019-04-12 03:00:00
595,244.4095263643433,2019-04-12 03:10:00
596,244.40664083363743,2019-04-12 03:20:00
597,244.40660614024839,2019-04-12 03:30:00
598,244.4129299410043,2019-04-12 03:40:00
599,244.4091128826178,2019-04-12 03:50:00
600,244.41087963321067,2019-04-12 04:00:00
601,244.41736378978646,2019-04-12 04:10:00
602,244.4130629720019,2019-04-12 04:20:00
603,244.42019869580588,2019-04-12 04:30:00
604,244.4297649398441,2019-04-12 04:40:00
605,244.42512017579915,2019-04-12 04:50:00
