Time (DDDHHmm),Mean_temp (K)
1050910,239.77263621079288
1050920,239.7702218780193
1050930,239.7664003416876
1050940,239.7687284264281
1050950,239.76951456216335
1051000,239.77179429322774
1051010,239.77597638747764
1051020,239.7856868455709
1051030,239.7922094548634
1051040,239.78359354814876
1051050,239.7791894980615
1051100,239.7723138195682
1051110,239.7649465813415
1051120,239.7600968170928
1051130,239.75582523949345
1051140,239.74179528609815
1051150,239.7409430467752
1051200,239.7399171640651
1051210,239.7408990462441
1051520,240.0656667301767
1051530,240.0941140096846
1051540,240.12883149776357
1051550,240.15703027653123
1051600,240.18228166471192
1051610,240.2011480890552
1051620,240.2218994609447
1051630,240.2459201497072
1051640,240.27002337352158
1051650,240.2968450675103
1051700,240.30260763179692
1051710,240.33089168938804
1051720,240.35283734141095
1051730,240.3785388651165
1051740,240.4051905650619
1051750,240.42399066497853
1051800,240.43431907023307
1051810,240.4482612347837
1051820,240.45312642862763
1051830,240.45032221208206
1051840,240.4426856400785
1051850,240.43322469561846
1051900,240.41359802204303
1051910,240.39617218505865
1051920,240.363223431571
1051930,240.3438154737758
1051940,240.31199723931368
1051950,240.27880875329697
1052000,240.2446553330108
1052010,240.2142138876044
1052020,240.18230059115945
1052030,240.15030885889863
1052040,240.10795158337376
1052050,240.0660172570931
1052100,240.02040460642428
1052110,239.97653899179693
1052120,239.9301368261083
1052130,239.88327665240405
1052140,239.83387043209515
1052150,239.78588643933836
1052200,239.73730289902613
1052210,239.69116901123652
1052220,239.6435038429246
1052230,239.60466592059439
1052240,239.55533414442434
1052250,239.50347589569057
1052300,239.45478752626914
1052310,239.4195179666805
1052320,239.3777114367075
1052330,239.33674357791642
1052340,239.30302675812013
1052350,239.26536835755604
1060000,239.22495773602736
1060010,239.18240626251068
1060020,239.1352627098322
1060030,239.08469611146919
1060040,239.0345692637314
1060050,238.9824217297636
1060100,238.9294468896433
1060110,238.8810633685166
1060120,238.83184767163232
1060130,238.79198906576357
1060140,238.7518834299577
1060150,238.71099273807806
1060200,238.67825488189413
1060210,238.63903625887215
1060220,238.60654251751748
1060230,238.57843726355952
1060240,238.5421988156296
1060250,238.51480572773005
1060300,238.48968475184364
1060310,238.4705518772806
1060320,238.44627446353158
1060330,238.4352711285419
1060340,238.41546832496724
1060350,238.40042651135926
1060400,238.38169995609462
